crimeCaseNumber,CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Location 1
,12/27/14,9S,1252,3000 ARUNAH AV,SHOOTING,FIREARM,814,SOUTHWESTERN,Franklintown Road,"(39.2951400000, -76.6669400000)"
,12/27/14,4C,18:36:00,2800 W MULBERRY ST,AGG. ASSAULT,OTHER,842,SOUTHWESTERN,Penrose/Fayette Street Outreach,"(39.2926700000, -76.6632100000)"
,12/27/14,3AF,18:52:00,,ROBBERY - STREET,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2901200000, -76.5709900000)"
,12/27/14,3AJF,19:34:00,2700 GATEHOUSE DR,ROBBERY - CARJACKING,FIREARM,622,NORTHWESTERN,Purnell,"(39.3209100000, -76.7076000000)"
,12/27/14,3AF,19:39:00,2500 W LANVALE ST,ROBBERY - STREET,FIREARM,721,WESTERN,Evergreen Lawn,"(39.2969400000, -76.6566800000)"
,12/27/14,3AF,19:39:00,2500 W LANVALE ST,ROBBERY - STREET,FIREARM,721,WESTERN,Evergreen Lawn,"(39.2969400000, -76.6566800000)"
,12/27/14,9S,1935,3300 HAMILTON AV,SHOOTING,FIREARM,425,NORTHEASTERN,Glenham-Belhar,"(39.3486100000, -76.5581300000)"
,12/27/14,3AF,20:20:00,5300 CARRIAGE CT,ROBBERY - STREET,FIREARM,823,SOUTHWESTERN,Westgate,"(39.2832000000, -76.7065400000)"
,12/27/14,3AF,20:55:00,5000 GOODNOW RD,ROBBERY - STREET,FIREARM,443,NORTHEASTERN,Frankford,"(39.3264300000, -76.5448300000)"
,12/27/14,4D,23:00:00,4400 BELAIR RD,AGG. ASSAULT,HANDS,422,NORTHEASTERN,Arcadia,"(39.3290100000, -76.5644300000)"
,12/27/14,3AF,23:55:00,3300 PRESSTMAN ST,ROBBERY - STREET,FIREARM,813,SOUTHWESTERN,Rosemont,"(39.3043700000, -76.6723700000)"
,12/26/14,3AO,19:30:00,1600 MCHENRY ST,ROBBERY - STREET,OTHER,935,SOUTHERN,New Southwest/Mount Clare,"(39.2844300000, -76.6422500000)"
,12/26/14,3AK,20:30:00,6400 EASTBOURNE AVE,ROBBERY - STREET,KNIFE,243,SOUTHEASTERN,Broening Manor,"(39.2730600000, -76.5367300000)"
,12/26/14,4C,20:35:00,600 N EUTAW ST,AGG. ASSAULT,OTHER,143,CENTRAL,Seton Hill,"(39.2960800000, -76.6213800000)"
,12/26/14,3K,15:15:00,0 N CAREY ST,ROBBERY - RESIDENCE,,711,WESTERN,Franklin Square,"(39.2887100000, -76.6381900000)"
,12/26/14,3GF,0:15:00,200 W 28TH ST,ROBBERY - COMMERCIAL,FIREARM,511,NORTHERN,Remington,"(39.3216700000, -76.6204400000)"
,12/26/14,3GF,0:15:00,2900 ROSALIND AV,ROBBERY - COMMERCIAL,FIREARM,532,NORTHERN,Cylburn,"(39.3458600000, -76.6638300000)"
,12/26/14,3AF,1:20:00,700 N GLOVER ST,ROBBERY - STREET,FIREARM,323,EASTERN,Madison-Eastend,"(39.2992900000, -76.5802400000)"
,12/26/14,4C,5:00:00,3000 MATHEWS ST,AGG. ASSAULT,OTHER,513,NORTHERN,Better Waverly,"(39.3252500000, -76.6068300000)"
,12/26/14,3D,7:20:00,1000 S CHARLES ST,ROBBERY - COMMERCIAL,,942,SOUTHERN,Federal Hill,"(39.2780700000, -76.6144800000)"
,12/26/14,3AF,8:55:00,300 W BALTIMORE ST,ROBBERY - STREET,FIREARM,111,CENTRAL,Downtown,"(39.2893200000, -76.6199600000)"
,12/26/14,3CF,18:23:00,200 E LEXINGTON ST,ROBBERY - COMMERCIAL,FIREARM,111,CENTRAL,Downtown,"(39.2912200000, -76.6123700000)"
,12/26/14,3JK,18:53:00,1000 WILMINGTON AV,ROBBERY - RESIDENCE,KNIFE,832,SOUTHWESTERN,Wilhelm Park,"(39.2728000000, -76.6639800000)"
,12/26/14,4B,21:24:00,1500 N SMALLWOOD ST,AGG. ASSAULT,KNIFE,741,WESTERN,Easterwood,"(39.3059700000, -76.6524500000)"
,12/26/14,4C,23:21:00,2800 FOREST GLEN RD,AGG. ASSAULT,OTHER,641,NORTHWESTERN,West Forest Park,"(39.3181800000, -76.6944500000)"
,12/26/14,3AF,23:30:00,100 N MONROE ST,ROBBERY - STREET,FIREARM,714,WESTERN,Penrose/Fayette Street Outreach,"(39.2898300000, -76.6470700000)"
,12/26/14,4C,23:36:00,,AGG. ASSAULT,OTHER,132,CENTRAL,Madison Park,"(39.3041300000, -76.6297500000)"
,12/25/14,3AO,1:13:00,1300 CAMBRIA ST,ROBBERY - STREET,OTHER,911,SOUTHERN,Curtis Bay,"(39.2321100000, -76.5907000000)"
,12/25/14,1K,157,3800 S HANOVER ST,HOMICIDE,KNIFE,913,SOUTHERN,Brooklyn,"(39.2366100000, -76.6105400000)"
,12/25/14,4C,2:30:00,2300 BARCLAY ST,AGG. ASSAULT,OTHER,341,EASTERN,Barclay,"(39.3159500000, -76.6111900000)"
,12/25/14,4A,5:00:00,3400 ALTO RD,AGG. ASSAULT,FIREARM,641,NORTHWESTERN,Hanlon-Longwood,"(39.3172600000, -76.6752100000)"
,12/25/14,4C,5:38:00,200 S HIGHLAND AVE,AGG. ASSAULT,OTHER,231,SOUTHEASTERN,Highlandtown,"(39.2900300000, -76.5692100000)"
